Date,Description,Category,Amount,Currency,Tax Deductible,Notes
12/12/2024,ENOC PETROL,Travel,124,AED,Yes,
3/20/2025,EMARAT PETROL,Travel,135.09,AED,Yes,
3/1/2025,ENOC PETROL,Travel,142.02,AED,Yes,
2/8/2025,EMARAT PETROL,Travel,142.08,AED,Yes,
8/8/2024,ENOC PETROL,Travel,151.01,AED,Yes,
11/14/2024,ENOC PETROL,Travel,139.23,AED,Yes,
4/21/2025,ENOC PETRO,Travel,129.03,AED,Yes,
1/26/2025,ENOC PETROL,Travel,126.02,AED,Yes,
2/13/2025,ENOC PETROL,Travel,99.23,AED,Yes,
2/3/2025,ENOC PETROL,Travel,127.26,AED,Yes,
4/4/2025,ENOC PETROL,Travel,137.89,AED,Yes,
2/10/2025,ENOC PETRO,Travel,120.78,AED,Yes,
3/6/2025,ENOC PETROL,Travel,133.11,AED,Yes,
3/14/2025,ENOC PETRO,Travel,145.03,AED,Yes,
6/11/2024,ADNOC PETROL,Travel,172.29,AED,Yes,
4/16/2025,ADNOC PETRO,Travel,123.96,AED,Yes,
4/10/2025,ADNOC PTROL,Travel,132.76,AED,Yes,
6/20/2024,ADNOC PETROL,Travel,144.33,AED,Yes,
11/29/2024,ADNOC PETROL,Travel,129.72,AED,Yes,
12/6/2024,ADNOC PETROL,Travel,132.5,AED,Yes,
6/11/2025,ENOC PETROL,Travel,128.9,AED,Yes,
5/1/2025,ENOC PETROL,Travel,127,AED,Yes,
6/16/2025,ENOC RETAIL,Travel,142.47,AED,Yes,
6/22/2025,ENOC PETROL,Travel,113.06,AED,Yes,
7/11/2025,ENOC PETROL,Travel,146,AED,Yes,
5/24/2025,EMARAT PETROL,Travel,150,AED,Yes,
7/21/2025,ENOC PETROL,Travel,154.16,AED,Yes,
5/8/2025,ENOC PETROL,Travel,148.03,AED,Yes,
7/1/2025,ENOC PETROL,Travel,150,AED,Yes,
7/10/2025,ENOC PETROL,Travel,138.8,AED,Yes,
8/8/2025,ENOC PETROL,Travel,127.42,AED,Yes,
8/13/2025,ENOC PETROL,Travel,146,AED,Yes,
8/19/2025,ADNOCPETROL,Travel,120.02,AED,Yes,
5/12/2025,ADNOC PETROL,Travel,140.01,AED,Yes,
7/27/2025,ADNOC PETROL,Travel,151.14,AED,Yes,
8/1/2025,ADNOC PETROL,Travel,158.06,AED,Yes,
8/23/2025,ADNOC PETROL,Travel,147.12,AED,Yes,
5/14/2025,ADNOC PETROL,Travel,128.82,AED,Yes,
8/22/2025,OMNIYAT PARKING,Travel,45,AED,Yes,
4/24/2025,ABC COFFEE ROASTERS,Other,38,AED,Yes,MEETING WITH MAYIAM FROM DCT
8/13/2025,NARA RESTURANT,Other,196,AED,Yes,MEETING WITH MARIAM FROM DCT
1/10/2025,BETTERTOGETHER CAFE,Other,36,AED,Yes,MEETING WITH CLIENT
5/11/2025,MEYDAN FREE ZONE,Licensing,12125,AED,Yes,"RENEWAL WITH A CREDIT OF AED2,020.00"
5/22/2024,METDAN FREE ZONE,Licensing,12520,AED,Yes,
7/10/2024,Accountant Box,Professional,500,AED,Yes,
8/2/2024,Wio Bank Subscription fee,Licensing,99,AED,Yes,
9/2/2024,Wio Bank Subscription fee,Licensing,99,AED,Yes,
10/2/2024,Wio Bank Subscription fee,Licensing,99,AED,Yes,
11/2/2024,Wio Bank Subscription fee,Licensing,99,AED,Yes,
12/2/2024,Wio Bank Subscription fee,Licensing,99,AED,Yes,
1/2/2025,Wio Bank Subscription fee,Licensing,99,AED,Yes,
2/2/2025,Wio Bank Subscription fee,Licensing,99,AED,Yes,
3/2/2025,Wio Bank Subscription fee,Licensing,99,AED,Yes,
4/2/2025,Wio Bank Subscription fee,Licensing,99,AED,Yes,
5/2/2025,Wio Bank Subscription fee,Licensing,99,AED,Yes,
6/2/2025,Wio Bank Subscription fee,Licensing,99,AED,Yes,
7/2/2025,Wio Bank Subscription fee,Licensing,99,AED,Yes,
8/2/2025,Wio Bank Subscription fee,Licensing,99,AED,Yes,
9/2/2025,Wio Bank Subscription fee (monthly),Licensing,99,AED,Yes,| Recurring: monthly
8/30/2024,Cliff's Salary,Salary,20000,AED,Yes,
10/30/2024,Cliff's Salary,Salary,22000,AED,Yes,
10/9/2024,Cliff's Salary,Salary,6000,AED,Yes,
11/16/2024,Cliff's Salary,Salary,8000,AED,Yes,
12/29/2024,Cliff's Salary,Salary,8000,AED,Yes,
12/15/2024,Cliff's Salary,Salary,5500,AED,Yes,
12/4/2024,Cliff's Salary,Salary,8000,AED,Yes,
1/30/2025,Cliff's Salary,Salary,97000,AED,Yes,
2/5/2025,Cliff's Salary,Salary,25000,AED,Yes,
3/5/2025,Cliff's Salary,Salary,21000,AED,Yes,
4/29/2025,Cliff's Salary,Salary,8000,AED,Yes,
4/2/2025,Cliff's Salary,Salary,10500,AED,Yes,
6/1/2025,Cliff's Salary,Salary,6500,AED,Yes,
7/19/2025,Cliff's Salary,Salary,6000,AED,Yes,
